"Package","Version","Source"
"reshape2","1.4.5","Repository"
"rlang","1.1.7","Repository"
"rmarkdown","2.30","Repository"
"rmdformats","1.0.4","Repository"
"rstudioapi","0.18.0","Repository"
"rvest","1.0.5","Repository"
"sass","0.4.10","Repository"
"scales","1.4.0","Repository"
"scatterpie","0.2.6","Repository"
"selectr","0.5-1","Repository"
"showtext","0.9-8","Repository"
"showtextdb","3.0","Repository"
"snow","0.4-4","Repository"
"statmod","1.5.1","Repository"
"stringi","1.8.7","Repository"
"stringr","1.6.0","Repository"
"survival","3.7-0","Repository"
"sys","3.4.3","Repository"
"sysfonts","0.8.9","Repository"
"systemfonts","1.3.1","Repository"
"textshaping","1.0.5","Repository"
"tibble","3.3.1","Repository"
"tidyr","1.3.2","Repository"
"tidyselect","1.2.1","Repository"
"tidytree","0.4.7","Repository"
"tidyverse","2.0.0","Repository"
"timeDate","4052.112","Repository"
"timechange","0.4.0","Repository"
"tinytex","0.58","Repository"
"treeio","1.30.0","Bioconductor"
"tweenr","2.0.3","Repository"
"tzdb","0.5.0","Repository"
"urca","1.3-4","Repository"
"utf8","1.2.6","Repository"
"uuid","1.2-2","Repository"
"vctrs","0.7.1","Repository"
"viridisLite","0.4.3","Repository"
"vroom","1.7.0","Repository"
"vsn","3.74.0","Bioconductor"
"withr","3.0.2","Repository"
"xfun","0.56","Repository"
"xml2","1.5.2","Repository"
"yaml","2.3.12","Repository"
"yulab.utils","0.2.4","Repository"
"zip","2.3.3","Repository"
"zlibbioc","1.52.0","Bioconductor"
"zoo","1.8-15","Repository"
